"","Country","Year","Days.to.Start.a.Business","Days.to.Register.Property","Procedures.to.Register.Property","StartUp.Precedures.to.Register.a.Business","Cost.of.Business.Percent.of.GNI.per.capita","Tax.Payments.Number","Total.Tax.Contributions.Rate.of.Profit","Labor.Tax.and.Contributions","Other.Taxes.Rate.of.Profit","Hours.to.Prepare.and.Pay.Taxes","Time.to.Resolve.Insolvency"
"1","Australia","2003",3,NA,NA,3,2,NA,NA,NA,NA,NA,1
"2","Australia","2004",3,7,5,3,2.1,NA,NA,NA,NA,NA,1
"3","Australia","2005",3,4.5,5,3,1.9,13,52.1,23.7,2.1,107,1
"4","Australia","2006",3,4.5,5,3,1.8,12,51.1,23.7,0.7,107,1
"5","Australia","2007",3,4.5,5,3,0.8,12,50.1,22.2,0.8,107,1
"6","Australia","2008",2.5,4.5,5,3,0.8,12,50,20.9,1.7,107,1
"7","Australia","2009",2.5,4.5,5,3,0.8,11,47.8,21.1,0.7,107,1
"8","Australia","2010",2.5,4.5,5,3,0.7,11,47.6,20.9,0.7,109,1
"9","Australia","2011",2.5,4.5,5,3,0.7,11,47.3,20.5,0.7,109,1
"10","Australia","2012",2.5,4.5,5,3,0.7,11,47.2,20.4,0.7,109,1
"11","Australia","2013",2.5,4.5,5,3,0.7,11,47.3,20.8,0.4,105,1
"12","Australia","2014",2.5,4.5,5,3,0.7,11,47.4,20.9,0.4,105,1
"13","Australia","2015",2.5,4.5,5,3,0.7,11,47.6,21.1,0.4,105,1
"14","Australia","2016",2.5,4.5,5,3,0.7,11,47.6,21.1,0.4,105,1
"15","Australia","2017",2.5,4.5,5,3,0.7,11,47.5,21.1,0.4,105,1
"16","Australia","2018",2.5,4.5,5,3,0.7,11,47.4,21.1,0.3,105,1
"17","Brazil","2013",86.6,31.7,13.6,11,5.9,9.6,66.1,39.9,4,2600,4
"18","Brazil","2014",83.6,31.7,13.6,11,5.5,9.6,66,39.8,4,2600,4
"19","Brazil","2015",86,31.7,13.6,11,4.8,9.6,65.6,39.8,3.3,2600,4
"20","Brazil","2016",82.5,31.4,13.6,11,5.2,9.6,65.3,39.8,3.3,2038,4
"21","Brazil","2017",82.5,31.4,13.6,11,5,9.6,65.1,39.4,3.3,1958,4
"22","Brazil","2018",20.5,31.4,13.6,11,5,9.6,65.1,39.4,3.3,1958,4
"23","Canada","2003",3.5,NA,NA,3,0.6,NA,NA,NA,NA,NA,0.8
"24","Canada","2004",3.5,6.5,5,3,0.9,NA,NA,NA,NA,NA,0.8
"25","Canada","2005",3.5,6.5,5,3,0.9,9,47.5,12.4,7.9,119,0.8
"26","Canada","2006",3.5,6.5,5,3,0.8,9,45,12.4,7.6,119,0.8
"27","Canada","2007",3.5,6.5,5,3,0.8,9,44.3,12.3,6.6,119,0.8
"28","Canada","2008",5.5,6.5,5,2,0.4,9,44.1,12.6,6.7,119,0.8
"29","Canada","2009",5.5,6.5,5,2,0.4,9,42.3,12.5,6.6,119,0.8
"30","Canada","2010",5.5,6.5,5,2,0.4,8,22,12.6,6.2,131,0.8
"31","Canada","2011",5.5,6.5,5,2,0.4,8,20.7,12.6,6.2,131,0.8
"32","Canada","2012",5.5,6.5,5,2,0.4,8,20.1,12.7,5.2,131,0.8
"33","Canada","2013",5.5,4,5,2,0.4,8,19.9,11.9,4.9,131,0.8
"34","Canada","2014",5.5,4,5,2,0.4,8,21.1,12.5,4.7,131,0.8
"35","Canada","2015",1.5,4,5,2,0.4,8,21.1,12.7,4.5,131,0.8
"36","Canada","2016",1.5,4,5,2,0.4,8,21,12.8,4.3,131,0.8
"37","Canada","2017",1.5,4,5,2,0.4,8,20.9,12.9,4.2,131,0.8
"38","Canada","2018",1.5,4,5,2,0.3,8,20.5,12.6,4,131,0.8
"39","Switzerland","2003",20,NA,NA,6,8.9,NA,NA,NA,NA,NA,3
"40","Switzerland","2004",18,16,4,6,8.9,NA,NA,NA,NA,NA,3
"41","Switzerland","2005",18,16,4,6,9,20,28.8,16.7,2.8,63,3
"42","Switzerland","2006",18,16,4,6,2.5,19,27.6,16.7,2.1,63,3
"43","Switzerland","2007",18,16,4,6,2.4,19,27.9,17.2,2.1,63,3
"44","Switzerland","2008",18,16,4,6,2.4,19,27.8,16.7,1.9,63,3
"45","Switzerland","2009",18,16,4,6,2.3,19,28.7,16.6,2.1,63,3
"46","Switzerland","2010",18,16,4,6,2.4,19,28.8,17.5,2,63,3
"47","Switzerland","2011",18,16,4,6,2.4,19,28.9,17.6,2,63,3
"48","Switzerland","2012",18,16,4,6,2.3,19,29.4,17.8,2.1,63,3
"49","Switzerland","2013",18,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"50","Switzerland","2014",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"51","Switzerland","2015",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"52","Switzerland","2016",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"53","Switzerland","2017",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"54","Switzerland","2018",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"55","China","2013",32.4,23.5,5,11,1.9,9,68.8,49.8,8.5,318,1.7
"56","China","2014",29.4,23.5,5,9,0.9,9,68.6,49.5,8.5,261,1.7
"57","China","2015",29.4,23.5,5,9,0.7,9,67.9,48.5,8.5,261,1.7
"58","China","2016",26.9,23.5,5,7,0.7,9,68.2,48.9,8.5,259,1.7
