"","Country","Year","Total.Area.Million.KM","Total.Population.Million","GDP.Billions","Foreign.Direct.Investment.Millions","Broad.Money","GDP.Growth","GDP.PerCapita.Growth","GDP.PerCapita","GINI"
"1","Australia","1960",NA,10.276,18.578,NA,NA,NA,NA,1807.786,NA
"2","Australia","1961",7.741,10.483,19.654,NA,4.76,2.486,0.467,1874.839,NA
"3","Australia","1962",7.741,10.742,19.892,NA,7.919,1.296,-1.147,1851.842,NA
"4","Australia","1963",7.741,10.95,21.507,NA,10.459,6.215,4.197,1964.15,NA
"5","Australia","1964",7.741,11.167,23.764,NA,11.586,6.978,4.9,2128.068,NA
"6","Australia","1965",7.741,11.388,25.938,NA,5.16,5.983,3.927,2277.657,NA
"7","Australia","1966",7.741,11.651,27.268,NA,7.756,2.383,0.071,2340.439,NA
"8","Australia","1967",7.741,11.799,30.398,NA,9.006,6.303,4.969,2576.285,NA
"9","Australia","1968",7.741,12.009,32.665,NA,7.034,5.096,3.258,2720.083,NA
"10","Australia","1969",7.741,12.263,36.629,NA,9.527,7.045,4.827,2986.95,NA
"11","Australia","1970",7.741,12.507,41.271,898.24,5.116,7.172,5.081,3299.843,NA
"12","Australia","1971",7.741,12.937,45.15,1148.861,8.711,4.004,0.547,3489.952,NA
"13","Australia","1972",7.741,13.177,51.967,1053.514,19.681,3.913,2.02,3943.788,NA
"14","Australia","1973",7.741,13.38,63.739,147.282,21.307,2.614,1.057,4763.724,NA
"15","Australia","1974",7.741,13.723,88.831,1332.157,9.158,4.103,1.501,6473.165,NA
"16","Australia","1975",7.741,13.893,97.172,455.089,20.559,1.35,0.11,6994.308,NA
"17","Australia","1976",7.741,14.033,104.921,1042.694,12.229,2.588,1.564,7476.749,NA
"18","Australia","1977",7.741,14.192,110.202,1139.121,5.921,3.597,2.437,7765.071,NA
"19","Australia","1978",7.741,14.358,118.34,1677.596,10.49,0.897,-0.27,8242.076,NA
"20","Australia","1979",7.741,14.514,134.712,1488.339,11.609,4.043,2.925,9281.523,NA
"21","Australia","1980",7.741,14.692,149.776,1869.829,14.015,3.034,1.786,10194.395,NA
"22","Australia","1981",7.741,14.927,176.643,2346.769,9.885,3.338,1.711,11833.821,31.3
